,RUB
2015-03-11,0.0161527856898712
2015-03-12,0.0162984054669703
2015-03-13,0.0161024706819993
2015-03-16,0.0160495274962996
2015-03-17,0.0162781381586434
2015-03-18,0.0164919804345353
2015-03-19,0.016646008642256
2015-03-20,0.016858961245596
2015-03-25,0.017498011589592
2015-03-26,0.0174437883261412
2015-03-27,0.0174021566401816
2015-03-30,0.0173356397459165
2015-03-31,0.0171949671276354
2015-04-01,0.017391072844681
2015-04-06,0.0180933076661759
2015-04-07,0.0182004300588501
2015-04-08,0.0186796742449949
2015-04-09,0.0191862068965517
2015-04-10,0.0187938983050847
2015-04-13,0.0190168247515808
2015-04-14,0.0196130051930458
2015-04-15,0.0200556056846379
2015-04-16,0.020134671779833
2015-04-17,0.0191014999436111
2015-04-20,0.01876744448202
2015-04-21,0.0187596348884381
2015-04-22,0.0191461876337425
2015-04-23,0.0196764209341586
2015-04-24,0.0195740157480314
2015-04-27,0.019272287802136
2015-04-28,0.0195243340451837
2015-04-29,0.0196615367333183
2015-04-30,0.0194155158863814
2015-05-04,0.0191992818671454
2015-05-05,0.0197896153414825
2015-05-06,0.019651199282672
2015-05-07,0.0197909009412819
2015-05-08,0.0196639784946236
2015-05-11,0.0193859845516623
2015-05-12,0.0198803715308863
2015-05-13,0.0203574944071588
2015-05-14,0.0200010062611806
2015-05-15,0.0202513691740248
2015-05-18,0.0203627834245504
2015-05-19,0.0201632060727841
2015-05-20,0.0200794465521089
2015-05-21,0.0200370205173951
2015-05-22,0.0200205105339427
2015-05-26,0.0196328803742481
2015-05-27,0.0192960035622843
2015-05-28,0.0189463610060093
2015-05-29,0.0190987544483985
2015-06-01,0.0187099822143174
2015-06-02,0.018934340628819
2015-06-03,0.0184467636282891
2015-06-04,0.0178658157602663
2015-06-05,0.0176351231417794
2015-06-08,0.0177795520070969
2015-06-09,0.017988030588496
2015-06-10,0.0183906301916048
2015-06-11,0.0182881975199291
2015-06-12,0.0181118734093172
2015-06-15,0.0183208715850016
2015-06-16,0.0186306943830163
2015-06-17,0.018464861878453
2015-06-18,0.018758064516129
2015-06-19,0.0185093860424028
2015-06-22,0.0185802891513078
2015-06-23,0.0185470490899062
2015-06-24,0.0183492115999558
2015-06-25,0.0183095999118262
2015-06-26,0.0181788940295219
2015-06-29,0.0180300561488494
2015-06-30,0.0181373239436619
2015-07-01,0.017937864291213
2015-07-02,0.0180628778718258
2015-07-03,0.0179109182776801
2015-07-06,0.0176639218269653
2015-07-07,0.0174970375246872
2015-07-08,0.0173656503619214
2015-07-10,0.0177540552389302
2015-07-13,0.0177072743207712
2015-07-14,0.0177043363994743
2015-07-15,0.0175781985334354
2015-07-16,0.0175721942682126
2015-07-17,0.0175360813470369
2015-07-20,0.0175565511965905
2015-07-21,0.0175662953254696
2015-07-22,0.0175049667066914
2015-07-23,0.0172789961811238
2015-07-24,0.0171176919720767
2015-07-27,0.0168620952796249
2015-07-28,0.0166542819786445
2015-07-29,0.0170669788717055
2015-07-30,0.0167621639272885
2015-07-31,0.0162889009793253
2015-08-03,0.0158082653616095
2015-08-04,0.0158803260869565
2015-08-05,0.0157302552960347
2015-08-06,0.015548593766967
2015-08-07,0.0157225960494899
2015-08-10,0.015880694143167
2015-08-11,0.0155550016256638
2015-08-12,0.0155705774022316
2015-08-13,0.0154504709321208
2015-08-14,0.0154713203463203
2015-08-18,0.0151959978366684
2015-08-19,0.0150598854177926
2015-08-20,0.014909022150189
2015-08-21,0.014494384449244
2015-08-24,0.0142692349196072
2015-08-25,0.0144153364969801
2015-08-26,0.0144786076085785
2015-08-27,0.0150076475657044
2015-08-28,0.0153145317545748
2015-08-31,0.0156646944922547
2015-09-01,0.0150908211521926
2015-09-02,0.0149182599355531
2015-09-03,0.0149063003112589
2015-09-04,0.0147269899163269
2015-09-07,0.0144804068522483
2015-09-08,0.0147437078290671
2015-09-09,0.0146466181506849
2015-09-10,0.0148057754010695
