,usd_por_unidad
2013-01-10,0.8442000404940271
2013-01-22,0.84
2013-01-23,0.8410999194198228
2013-01-24,0.8376999798508965
2013-01-25,0.8355001007049346
2013-01-28,0.8309000201166767
2013-01-29,0.8374999999999999
2013-01-30,0.8316000401767779
2013-02-01,0.8462
2013-02-04,0.845399959863536
2013-02-05,0.8452999598715891
2013-02-06,0.8425001002606777
2013-02-07,0.8313999999999999
2013-02-08,0.8341999599679744
2013-02-13,0.8412000399680256
2013-02-14,0.8469000799360512
2013-02-15,0.8450999800439034
2013-02-18,0.845300079649542
2013-02-19,0.848199920350458
2013-02-21,0.8346999403459933
2013-02-22,0.8381
2013-02-25,0.8387999602701629
2013-02-26,0.825799920603414
2013-02-27,0.8231999999999999
2013-02-28,0.8276999603646451
2013-03-01,0.8255000990295108
2013-03-04,0.8232000395726158
2013-03-05,0.8298000790982795
2013-03-06,0.8281999604821181
2013-03-07,0.8273999604977287
2013-03-08,0.8194
2013-03-11,0.8259000985221674
2013-03-12,0.825399960614415
2013-03-13,0.8257000000000001
2013-03-14,0.821300098328417
2013-03-15,0.8268000785545956
2013-03-18,0.8251999607535321
2013-03-19,0.8233000392464678
2013-03-20,0.8237000981354269
2013-03-21,0.832
2013-03-22,0.8361000000000001
2013-03-25,0.8351999609069587
2013-03-26,0.8373999999999999
2013-03-27,0.8361999219055056
2013-04-03,0.8422
2013-04-04,0.8420999220880405
2013-04-05,0.8420999220880405
2013-04-08,0.8457999220728619
2013-04-09,0.852199922133541
2013-04-10,0.8570000000000001
2013-04-11,0.8633000194439043
2013-04-12,0.8578999805787532
2013-04-15,0.8451999223602484
2013-04-16,0.8503000969932104
2013-04-17,0.8438000387897596
2013-04-18,0.8421000193836016
2013-04-19,0.8435999225406662
2013-04-22,0.8405000967679505
2013-04-23,0.8404000386697604
2013-04-24,0.8458
2013-04-25,0.8526999806688575
2013-04-26,0.849
2013-04-29,0.8569000000000001
2013-04-30,0.8568999421631001
2013-05-02,0.8503000192566917
2013-05-03,0.8535999230621273
2013-05-06,0.8517000768049156
2013-05-07,0.8452
2013-05-08,0.8392000383582661
2013-05-09,0.8422999425397434
2013-05-10,0.8308999808758846
2013-05-13,0.8240000000000001
2013-05-14,0.8198
2013-05-15,0.8217999235620104
2013-05-16,0.8183999617810053
2013-05-17,0.8081000763941941
2013-05-20,0.8164
2013-05-21,0.8171000381097562
2013-05-22,0.8067000951474785
2013-05-23,0.81439996199886
2013-05-24,0.8081999620205089
2013-05-27,0.8084
2013-05-28,0.8095000000000001
2013-05-29,0.8126999620924943
2013-05-30,0.8079999999999999
2013-05-31,0.7964000757002272
2013-06-03,0.8107000189143182
2013-06-04,0.7976999432785026
2013-06-05,0.7936000756000755
2013-06-06,0.8023999245425392
2013-06-07,0.7874
2013-06-10,0.7902
2013-06-11,0.7853
2013-06-12,0.7978999623918767
2013-06-13,0.8038999436831237
2013-06-14,0.8055999999999999
2013-06-17,0.7998999437886453
2013-06-18,0.8009999999999999
